gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful
1.731,0.087,3.417,3.503,12,0
1.739,0.087,3.415,3.501,13,0
1.763,0.087,3.42,3.507,18,0
1.711,0.087,3.408,3.495,13,0
1.751,0.088,3.399,3.487,13,0
1.734,0.089,3.382,3.471,14,0
1.755,0.09,3.378,3.468,17,0
1.786,0.089,3.385,3.474,13,0
1.8,0.089,3.383,3.472,12,0
1.719,0.089,3.391,3.48,21,0
1.722,0.088,3.4,3.489,20,0
1.739,0.089,3.389,3.478,12,0
1.791,0.089,3.387,3.476,10,0
1.751,0.089,3.387,3.476,12,0
1.783,0.088,3.391,3.48,12,0
1.807,0.089,3.379,3.469,10,0
1.824,0.09,3.372,3.462,18,0
1.822,0.091,3.362,3.453,16,0
1.756,0.092,3.357,3.449,16,0
1.671,0.092,3.358,3.45,7,0
1.74,0.091,3.359,3.451,20,0
1.741,0.091,3.373,3.464,18,0
1.69,0.089,3.384,3.473,15,0
1.753,0.09,3.375,3.465,18,0
1.785,0.089,3.375,3.464,12,0
1.71,0.089,3.381,3.47,17,0
1.742,0.089,3.375,3.463,19,0
1.696,0.089,3.375,3.464,11,0
1.698,0.089,3.387,3.476,11,0
1.725,0.087,3.398,3.485,13,0
1.741,0.087,3.405,3.492,13,0
1.765,0.087,3.394,3.482,18,0
1.858,0.087,3.396,3.484,16,0
1.734,0.085,3.411,3.496,20,0
1.725,0.086,3.406,3.491,15,0
1.76,0.086,3.398,3.484,15,0
1.734,0.087,3.385,3.471,12,0
1.752,0.087,3.388,3.474,14,0
1.722,0.086,3.395,3.481,20,0
1.82,0.086,3.4,3.486,13,0
1.817,0.087,3.399,3.486,12,0
1.815,0.088,3.377,3.465,24,0
1.748,0.09,3.365,3.455,10,0
1.713,0.089,3.374,3.464,9,0
1.731,0.089,3.374,3.462,16,0
1.679,0.089,3.374,3.464,14,0
1.73,0.091,3.372,3.463,16,0
1.749,0.091,3.374,3.465,8,0
1.74,0.09,3.393,3.483,10,0
1.682,0.09,3.396,3.486,12,0
1.725,0.089,3.4,3.489,17,0
